,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,172-6_Bio_12_tech_1,A019_Bio_7_tech_1,A019_Bio_8_tech_3,A046_Bio_1_tech_3,A019_Bio_6_tech_2,B004_Bio_7_tech_3,A046_Bio_8_tech_2,172-6_Bio_2_tech_3,B004_Bio_2_tech_4,A046_Bio_12_tech_1,A019_Bio_9_tech_3,B004_Bio_12_tech_3,172-6_Bio_10_tech_3,A046_Bio_3_tech_2,A046_Bio_2_tech_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,172-6_Bio_11_tech_4,BTS,B004_Bio_2_tech_3,172-6_Bio_5_tech_1,BTS,172-6_Bio_5_tech_4,172-6_Bio_7_tech_3,BTS,B004_Bio_3_tech_4,172-6_Bio_4_tech_3,BTS,A046_Bio_7_tech_1,172-6_Bio_5_tech_3,BTS,B004_Bio_3_tech_3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,B004_Bio_9_tech_4,A046_Bio_4_tech_2,A046_Bio_10_tech_4,A019_Bio_12_tech_2,B004_Bio_10_tech_4,A046_Bio_12_tech_3,A019_Bio_7_tech_3,A019_Bio_10_tech_1,A046_Bio_5_tech_3,172-6_Bio_11_tech_2,A019_Bio_5_tech_4,B004_Bio_11_tech_3,A019_Bio_10_tech_2,A019_Bio_7_tech_2,B004_Bio_4_tech_2,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,B004_Bio_12_tech_1,A046_Bio_6_tech_3,172-6_Bio_8_tech_4,172-6_Bio_12_tech_2,172-6_Bio_7_tech_4,A019_Bio_5_tech_3,A046_Bio_1_tech_2,A019_Bio_3_tech_1,B004_Bio_12_tech_2,A046_Bio_5_tech_4,172-6_Bio_9_tech_1,B004_Bio_5_tech_2,A019_Bio_8_tech_2,B004_Bio_5_tech_1,A019_Bio_12_tech_4,NA,NA,NA,NA,NA,NA,NA,NA,NA
E,A046_Bio_9_tech_2,BTS,A019_Bio_12_tech_1,A046_Bio_12_tech_4,BTS,A019_Bio_9_tech_4,172-6_Bio_1_tech_3,BTS,A046_Bio_9_tech_1,A046_Bio_11_tech_2,BTS,A019_Bio_11_tech_4,B004_Bio_1_tech_4,BTS,A046_Bio_3_tech_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,A019_Bio_3_tech_4,172-6_Bio_8_tech_3,B004_Bio_6_tech_3,B004_Bio_8_tech_3,A046_Bio_4_tech_4,B004_Bio_1_tech_2,172-6_Bio_4_tech_2,A019_Bio_11_tech_2,B004_Bio_9_tech_2,172-6_Bio_3_tech_2,B004_Bio_8_tech_2,A019_Bio_9_tech_2,172-6_Bio_9_tech_4,A046_Bio_7_tech_2,172-6_Bio_1_tech_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
G,A046_Bio_6_tech_2,A019_Bio_2_tech_2,172-6_Bio_12_tech_4,A046_Bio_6_tech_4,172-6_Bio_9_tech_2,B004_Bio_6_tech_1,A046_Bio_9_tech_4,A046_Bio_8_tech_1,A019_Bio_8_tech_1,A019_Bio_2_tech_3,172-6_Bio_10_tech_2,172-6_Bio_1_tech_2,A046_Bio_4_tech_1,172-6_Bio_3_tech_4,A019_Bio_10_tech_4,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,172-6_Bio_2_tech_2,BTS,B004_Bio_11_tech_4,B004_Bio_8_tech_4,BTS,A019_Bio_8_tech_4,172-6_Bio_4_tech_4,BTS,B004_Bio_4_tech_1,B004_Bio_6_tech_4,BTS,A046_Bio_7_tech_4,A046_Bio_8_tech_3,BTS,A019_Bio_11_tech_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
I,A046_Bio_7_tech_3,B004_Bio_12_tech_4,A019_Bio_11_tech_3,A046_Bio_3_tech_3,172-6_Bio_2_tech_4,A019_Bio_12_tech_3,A019_Bio_2_tech_4,172-6_Bio_7_tech_1,B004_Bio_4_tech_4,B004_Bio_4_tech_3,A019_Bio_4_tech_1,A046_Bio_5_tech_1,172-6_Bio_7_tech_2,B004_Bio_3_tech_1,B004_Bio_8_tech_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,A019_Bio_6_tech_1,B004_Bio_10_tech_1,172-6_Bio_1_tech_4,172-6_Bio_10_tech_4,A019_Bio_3_tech_3,B004_Bio_2_tech_2,B004_Bio_7_tech_4,A019_Bio_1_tech_3,A046_Bio_9_tech_3,A019_Bio_5_tech_2,172-6_Bio_11_tech_1,172-6_Bio_9_tech_3,172-6_Bio_2_tech_1,A019_Bio_6_tech_3,B004_Bio_11_tech_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
